# MW -- DOCUMENTED-INTENTIONAL spellings (NOT typos -- do NOT file corrections)
#
# 630 headwords that LOOK like misspellings but which MW records on purpose:
# wrong-reading apparatus (w.r.), variae lectiones (v.l.), in-composition /
# sandhi forms (in comp. for...), cross-references (See / = X q.v.), and other
# grammatical/Vedic notes. Filing a 'correction' for any of these CORRUPTS MW.
# Use this as a suppression list: such headwords should not be re-flagged.
# Format per row:  headword -> would-be 'correction'  |  the MW entry text

# ===== WRONG-READING (45) =====
BAvakA         -> BAvaka         | BAvakA  f. N. of a female demon (prob. w.r. for BAvukA), Vcar.
DAnyatA        -> DanyatA        | DAnya—tA  f. w.r. for Danya-tA.
DfzitA         -> Dfzita         | DfzitA/  (A/), ind., RV. viii, 52, 3 = (or w.r. for) ˚zatA/ (see above).
PalguRI        -> PalgunI        | Palgu˚RI  w.r. for Palguna, ˚naka, ˚nI.
PalguRaka      -> Palgunaka      | Palgu˚Raka  w.r. for Palguna, ˚naka, ˚nI.
SORqA          -> SORqa          | SORqA  (A), f. spirituous liquor (ifc. perhaps w.r. for SuRqa), R.
SUci           -> Suci           | SUci  w.r. for Suci (also SUci and SUcI for sUcI).
SakvarA        -> Sakvara        | SakvarA  (A), f. gravel, L. (prob. w.r. for SarkarA).
SalakA         -> SalAkA         | SalakA  f. w.r. for SalAkA, Pañcat.
SaradAtilaka   -> SAradAtilaka   | SaradA-tilaka  w.r. for SAr˚.
Saravana       -> SaravaRa       | Sara—vana  w.r. for -vaRa.
SinIvAlI       -> sinIvAlI       | SinIvAlI  w.r. for sin˚.
Svapaka        -> SvapAka        | Sva—paka  w.r. for -paca, Rājat.
bARAparRi      -> bARaparRi      | bARAparRi  w.r. for ˚Ra-p˚, q.v.
hariSravA      -> hariSrAvA      | hari—SravA  w.r. for next, VP.
hawaka         -> hAwaka         | hawaka  w.r. for hAwaka.
hawaparRI      -> haWaparRI      | hawaparRI  w.r. for haWa-parRI.
lozWaka        -> lozwaka        | lozWaka  incorrect for lozwa, ˚waka.
mUkA           -> mUka           | mU/kA  (A), f. a crucible, L. (= or w.r. for mUzA).
mahAdevA       -> mahAdeva       | mahA—devA  f. N. of a daughter of Devaka, VP. (w.r. for saha-devA)
mahAmagna      -> mahAnagna      | mahA—magna  w.r. for -nagna (q.v.), Kāraṇḍ.
mahAmahA       -> mahAmaha       | mahA—mahA  (A), f. N. of a constellation, SkandaP. || a species of plant (w.r. for -sahA), Car. (cf. the similar forms GanAGana, patApata, vadAvada.)
mahAmani       -> mahAmaRi       | mahA—mani  m. N. of a king, VP. (w.r. for -maRi, q.v.)
marga          -> mArga          | marga  w.r. for mArga, ĀpGṛ.
nirUpAKya      -> nirupAKya      | nir—UpAKya  w.r. for -ud˚, -up &c.
pArzwika       -> pArzWika       | pArzwika  w.r. for pArzWika.
parikzita      -> parIkzita      | pari-kzita  w.r. for pari-cita, or -kzit.
praSAsta       -> praSasta       | pra-˚SAsta  w.r. for ˚Sasta, ĀpŚr.
prahAna        -> prahARa        | pra-˚hAna  w.r. for ˚hARa
prahAni        -> prahARi        | pra-˚hAni  w.r. for ˚hARi.
pratyavaBAza   -> pratyavaBAsa   | praty—avaBAza or praty—avaBA˚zA,  w.r. for -BAsa, q.v., Uttarar.
pratyudyata    -> pratyudyAta    | praty-˚udyata  mfn. presented, offered, BhP. || w.r. for ˚udgata.
pravizwA       -> pravizwa       | pra/-vizwA  (A), f. N. of the mother of Paippalādi and Kauśika, Hariv. (prob. w.r. for SravizWA).
rizwA          -> rizwa          | rizwA  (A), f. N. of the mother of the Apsarasas, ib. (prob. w.r. for a-rizwA)
sOnahotra      -> SOnahotra      | sOnahotra  incorrect for SOn˚.
sUrApagA       -> surApagA       | sUrApagA  w.r. for sur˚.
saMvADa        -> saMvAda        | saM-vADa  √ vAD incorrect for sambADa, q.v.
samudraPeRa    -> samudraPena    | sam-udra—PeRa (w.r.) or sam-udra—Pena,  m. ‘sea-foam’, the bone of the cuttle-fish (so light that it floats), Ragh.; Suśr.; Bhpr.
satyasravas    -> satyaSravas    | satya—srava/s  m. N. of a teacher, VP. (prob. w.r. for -Sravas).
vAratrA        -> varatrA        | vAratrA  f. a species of bird (= or w.r. for vArawA), Car.
vareRA         -> vareRa         | vareRA  f. (prob.) w.r. for vareRya.
varzarAtra     -> varzArAtra     | varza—rAtra or varza—rA˚tri,  w.r. for varzA-r˚ below, R.
viSvaggati     -> vizvaggati     | viSvag-gati  &c. w.r. for vizvag-aSva &c.
vyAmarSa       -> vyAmarza       | vy-A-marSa  m. (√ mfS) rubbing out, erasure, W. (wrongly written vy-A-marza).
zaRqAmarka     -> SaRqAmarka     | za/RqA-ma/rka  (MaitrS.) w.r. for Sa/RqA-ma/rka.

# ===== VARIA-LECTIO (54) =====
ApastamBa      -> Apastamba      | ApastamBa  m. v.l. for Apastamba.
BftyADyApana   -> BftyaDyApana   | BftyADyApana  n. teaching the Veda for hire, Mn. xi, 63 (v.l. Bf/tAD˚).
ElA            -> elA            | ElA  f. N. of a river (v.l. elA), Hariv.
KARqaka        -> KaRqaka        | KARqaka  mfn. fr. KaRqa, g. DUmAdi (v.l.) and arIhaRAdi (Kāś.)
OpalA          -> Opala          | OpalA  f. N. of a Śakti, NṛsUp. || (v.l. omalA.)
PalakA         -> Palaka         | PalakA  f. (A or ikA) See below. || PalakA  f. v.l. for halakA, g. prekzAdi.
SUlIka         -> SUlika         | SUlIka  m. pl. N. of a people (v.l. sUlIka), Car.
SiroDAman      -> SirodAman      | Siro—DAman  n. the head (of a bed), Kād. (v.l. -BAga).
bidura         -> vidura         | bidura  v.l. for Bidura, q.v.
cIvillikA      -> civillikA      | cIvillikA  v.l. for civ˚, L.
cattra         -> Cattra         | cattra  n. v.l. for cAttra.
dadrUrogin     -> dadrurogin     | dadrU—rogin  mfn. = dru-, L., Sch. (v.l. dard˚).
dattAmitrA     -> dattAmitra     | dattAmitrA  f. N. of a place (cf. dattAmitrIya), R. iv, 43, 20 (v.l. daRqAm˚).
dfzwaraTa      -> DfzwaraTa      | dfzwa—raTa  m. N. of a king, MBh. xiii, 7678 (v.l. dfQa- and Dfzwa-).
gOBila         -> goBila         | gOBila  n. Gobhila's Gṛhya-sūtra, Gṛhyās. ii, 94 (v.l. goB˚).
gOraTa         -> goraTa         | gOraTa  m. patr. fr. go-r˚, Pravar. vi, 2 (v.l. gor˚).
ganDikA        -> ganDika        | ganDikA  f. v.l. for gabdikA (N. of a country) q.v.
jAlapada       -> jAlapAda       | jAla—pada  mfn. N. of a locality g. varaRAdi (v.l. ˚dI) || jAla—pada  mfn., ib.
kElikila       -> kelikila       | kElikila  m. pl. N. of a people (perhaps a Yavana tribe; v.l. kElak˚), VP.
kOwiryA        -> kOwIryA        | kOwiryA  v.l. for ˚wIryA.
kalaya         -> kalAya         | 1. kalaya  Nom. P. (fr. kali) kalayati, to take hold of the die called Kali, Kāś. on Pāṇ. iii, 1, 21. || 2. kalaya  v.l. for kala-ja, q.v.
kasAra         -> kAsAra         | kasAra  n. (v.l. kaṉsāra or kaMsAra) = kfsara, q.v., Gal.
kevalA         -> kevala         | ke/valA  f. N. of a locality, MBh. iii, 254, 10 (v.l. ˚lI)
kowirA         -> kowira         | kowirA  f. N. of one of the mothers in Skanda's retinue, MBh. ix, 2632 (kowarA v.l.)
kuwuka         -> kutuka         | kuwuka  v.l. for kuwaka, q.v.
layA           -> laya           | layA  f. N. of a Yoginī, Hcat. (v.l. jayA)
mitraGnA       -> mitraGna       | mitra—GnA  f. N. of a river, Hariv. (v.l. citra-GnI).
nAgaPalA       -> nAgaPala       | nAga—PalA  f. Momordica Monadelpha, Var.
nAgadantA      -> nAgadanta      | nAga—dantA  f. N. of an Apsaras, R. (v.l. -dattA)
nAmra          -> namra          | nAmra  v.l. for namra, ĀśvŚr.
nIvArA         -> nIvAra         | nI—vArA  v.l. for nivArA (see under ni-vf). || nIvA/rA  f. N. of a river, MBh.; VP. (v.l. ni-v˚).
niScira        -> niScirA        | niScira  m. N. of a Ṛṣi in the 2nd Manv-antara (v.l. for ˚cara)
nilaNgu        -> nIlaNgu        | ni/laNgu  m. a species of worm, TS. (v.l. for nIl˚).
pAsI           -> pASI           | pAsI  f. v.l. for pASI.
paRAya         -> paRAyA         | paRAya  Nom. P. Ā. ˚yati, to honour, praise, L. || paRAya  Nom. P. Ā. ˚yati id., Pāṇ. iii, 1, 28; Naigh. iii, 14 (v.l. ˚te); to sell (inf. ˚yitum), Kathās.
parapuzwA      -> parapuzwa      | para—puzwA  (A), f. a female cuckoo, Var. || a harlot, L. || a parasitical plant, L. || N. of a daughter of a king of Kauśāmbi, Kathās.
paricakrA      -> paricakra      | pari-cakrA  f. N. of a town (v.l. ˚vakra), L.
pippIkA        -> pippikA        | pippIkA  f. a species of bird, Var.
plavagA        -> plavaga        | plava—gA  (A), f. the sign of the zodiac Virgo, Var.
prAkPAlgunI    -> prAkPalgunI    | prAk—PAlgunI  f. = pUrva-P˚ (q.v.), Var. (v.l. -PalgunI).
rakzaRA        -> rakzaRa        | rakzaRA  f. guarding, protection, Śak. (v.l.), Pañcar.
sAhajit        -> sahajit        | sAhajit  m. v.l. for sAhaYji, VP.
sadASva        -> sadaSva        | sadASva  m. N. of a man (v.l. for sad-aSva), VP.
sutasomA       -> sutasoma       | suta/—somA  (A), f. N. of a wife of Kṛṣṇa (v.l. Sruta-s˚), Hariv.
svopaSa        -> svOpaSa        | sv-opaSa  mf(A/)n. having beautiful locks of hair (?), MaitrS. (v.l. sv-OpaSa).
tArRi          -> tarRi          | tArRi  pl. id., Pravar. vi, 3 (v.l. ˚Reya).
talaSabda      -> tAlaSabda      | tala—Sabda  m. = -tAla, Hariv. 15742; VarBṛS. xliii, 28 (v.l. ˚la-yudDa).
tamapraBA      -> tamapraBa      | tama—praBA  f. v.l. for ˚maH-pr˚, L.
udArAkza       -> udarAkza       | udArAkza  m. N. of a demon that causes diseases, MBh. (ed. Bomb. ix, 45, 63; v.l. udarAkza, q.v.)
vaRita         -> vanita         | vaRita  mfn. v.l. for vezwita, KātyŚr., Sch. || = vyUta, ib.
vanazad        -> vanasad        | vana—zad  v.l. for -sa/d, PārGṛ.
vetaRqA        -> vetaRqa        | vetaRqA  f. a form of Durgā, Vās. (v.l. for vetAlA).
viPalASa       -> vipalASa       | vi-Pa˚lASa  mfn. one whose hopes are disappointed, Hariv. (v.l. nizPal˚).
vilohitA       -> vilohita       | vi/—lohitA  (A), f. N. of one of the 7 tongues of fire (v.l. su-lohitA), MuṇḍUp.

# ===== IN-COMPOSITION (105) =====
ASIr           -> ASir           | ASIr  (in comp. for 1. ASi/s).
AkaRWa         -> akaRWa         | AkaRWa  (in comp. for A-kaRWam).
Aviz           -> Avis           | Avi/z  See Avi/s. || Avi/z  (in comp. for Avi/s).
Ayuz           -> Ayus           | Ayuz  (in comp. for Ayus below).
BAgavatI       -> BagavatI       | BAgavatI  f. of ˚vata, in comp.
BUyaS          -> BUyas          | BUyaS  in comp. for BUyas.
BavA           -> Bava           | BavA  in comp. before d for Bavat.
Danuz          -> Danus          | Danuz  in comp. for ˚nus.
DanvA          -> Danva          | DanvA  in comp. for ˚van.
GawIGawa       -> GawiGawa       | GawI—Gawa  in comp. and ifc. smaller and larger pots, Hariv. 3415; MārkP. viii, 205.
SArNgi         -> SArNgI         | SArNgi  in comp. for SArNgin.
SIrzaR         -> SIrzan         | SIrzaR  in comp. for SIrzan.
SanES          -> SanEs          | SanES  in comp. for SanEs.
SiKaRqi        -> SiKaRqI        | SiKaRqi  in comp. for ˚Rqin.
SiraS          -> Siras          | SiraS  in comp. for Siras.
Sociz          -> Socis          | Sociz  in comp. for Soci/s.
SvAvid         -> SvAviD         | SvAvid  in comp. for SvA-viD below.
aRU            -> aRu            | aRU  (with √ BU, &c.) See s.v. || aRU  (for aRu in comp. with √ BU and its derivatives).
amanI          -> amani          | a-manI/  (for a-mana/s in comp. with √ BU and its derivatives).
apAzWi         -> apAzwi         | apAzWi  = apAzwi in comp. with -ha/ or -ha/n, mfn. killing with the claws, ŚBr.
ayaS           -> ayas           | ayaS  (in comp. for ayas).
bArhas         -> barhas         | bArhas  Vṛddhi form of bfhas in comp.
bahiS          -> bahis          | bahiS  in comp. for bahis.
bahiz          -> bahis          | bahiz  in comp. for bahis.
banDU          -> banDu          | banDU  in comp. for ˚Du.
barhiz         -> barhis         | barhiz  in comp. for ˚his.
bfhaw          -> bfhat          | bfhaw  in comp. for bfha/t.
cIt            -> cit            | cIt  ind. (cf. 6. cit) only in comp.
cakzuS         -> cakzus         | cakzuS  in comp. for ˚kzus.
cakzuz         -> cakzus         | cakzuz  in comp. for ˚kzus.
catuS          -> catus          | catuS  in comp. for ˚tu/r.
caturantA      -> caturanta      | catur—antA  f. ‘the earth’, in comp. ˚teSa m. ‘earth-lord’, a king, Ragh. x, 86 (or catur-anteSa = -dig-ISa, q.v. Sch.)
catuz          -> catus          | catuz  in comp. for ˚tu/r.
dfN            -> dfn            | dfN  in comp. for 2. dfS.
dor            -> Dor            | dor  in comp. for dos
fN             -> fR             | fN  (by Sandhi for 2. f/c below).
fjU            -> fju            | fjU  (in comp. for fju/ above).
ftI            -> fti            | ftI  (in comp. for fti/ above).
gIr            -> gir            | gIr  (in comp. for 1. gi/r).
grAva          -> grABa          | grAva  in comp. for ˚van.
guRi           -> guRI           | guRi  in comp. for ˚Rin.
gurU           -> guru           | gurU  in comp.
haviz          -> havis          | haviz  in comp. for havis.
huraS          -> huras          | huraS  in comp. for huras.
jano           -> janO           | jano  in comp. for ˚nas.
jyotI          -> jyoti          | jyotI  in comp. for ˚tis.
jyotiS         -> jyotis         | jyotiS  in comp. for ˚tis.
jyotiz         -> jyotis         | jyotiz  in comp. for ˚tis.
kaRwaki        -> kaRwakI        | kaRwaki  (in comp. for kaRwakin, col. 3).
kakub          -> kakuB          | kakub  (in comp. for kaku/B).
kumBi          -> kumBI          | kumBi  (in comp. for ˚Bin, q.v.)
mADu           -> maDu           | mADu  Vṛddhi form of maDu in comp.
mARi           -> maRi           | mARi  Vṛddhi form of maRi in comp.
mAdri          -> mAdrI          | mAdri  m. c. for mAdrI in comp.
mandura        -> mandurA        | mandura  in comp. = mandurA.
marma          -> narma          | marma  in comp. for marman.
medaS          -> medas          | medaS  in comp. for medas.
mfn            -> mfR            | mfn  in comp. for mfd.
muhuS          -> muhus          | muhuS  in comp. for muhur.
nAndi          -> nAndI          | nAndi  for ˚ndI in comp.
nEz            -> nez            | nEz  Vṛddhi form of niz (for nis) in comp.
naBaS          -> naBas          | naBaS  in comp. for ˚Bas.
pARI           -> pARi           | pARI  in comp. for 2. pARi.
pArama         -> parama         | pArama  Vṛddhi form of parama in comp.
pAtnI          -> patnI          | pAtnI  Vṛddhi form of patnI (f. of pati) in comp.
pUzaR          -> pUzan          | pUzaR  in comp. for ˚zan.
paraS          -> paras          | paraS  in comp. for ˚ras.
payaS          -> payas          | payaS  in comp. for ˚yas.
plIha          -> plIhA          | plIha  in comp. for plIhan.
prAyaS         -> prAyas         | prAyaS  in comp. for 1. prAyas.
premA          -> prema          | premA  f. See below. || premA  in comp. for prema/n.
puMS           -> puMs           | puMS  in comp. for 2. puMs (cf. Pāṇ. viii, 3, 6).
puraS          -> puras          | puraS  in comp. for puras.
rATa           -> raTa           | 1. rATa  Vṛddhi form of 1. raTa, in comp. || 2. rATa  Vṛddhi form of 2. raTa, in comp.
raSana         -> raSanA         | raSana  in comp. for raSanA
sAmAna         -> samAna         | sAmAna  Vṛddhi form of 2. samAna in comp.
sOganDikA      -> sOganDika      | sOganDikA  (A), f. See below || sOganDikA  f. in comp.
sPItI          -> sPIti          | sPItI  in comp. for sPIta.
sadyaS         -> sadyas         | sadyaS  in comp. for sadyas.
sanad          -> samad          | sanad  in comp. for sanat (pr.p. of √ 1. san).
sarasi         -> sarasI         | sarasi  (loc. of saras), in comp.
sarpiz         -> sarpis         | sarpiz  in comp. for sarpis.
