# PW -- DOCUMENTED-INTENTIONAL spellings (NOT typos -- do NOT file corrections)
#
# 255 headwords that LOOK like misspellings but which PW records on purpose:
# wrong-reading apparatus (w.r.), variae lectiones (v.l.), in-composition /
# sandhi forms (in comp. for...), cross-references (See / = X q.v.), and other
# grammatical/Vedic notes. Filing a 'correction' for any of these CORRUPTS PW.
# Use this as a suppression list: such headwords should not be re-flagged.
# Format per row:  headword -> would-be 'correction'  |  the PW entry text

# ===== WRONG-READING (95) =====
ASItika        -> aSItika        | {#ASItika#} Adj. fehlerhaft für {#aSitika#}.
ASasya         -> ASAsya         | {#ASasya#} GOBH. 1,4,29 fehlerhaft für {#Asasya#}.
AkArika        -> Akarika        | *{#AkArika#} Adj. fehlerhaft für {#Akarika#}.
Barya          -> varya          | {#Barya#} HARIV. 8331 fehlerhaft für {#BArya#}.
BuzuRqi        -> BuSuRqi        | {#BuzuRqi#} und {#BuzuRqI#} fehlerhaft für {#BuSuRqi#} und {#BuSuRqI#}.
DAnyatA        -> DanyatA        | {#DAnyatA#} f. bei SĀY. zu ṚV. 10,34,7 wohl fehlerhaft für {#DanyatA#}.
DarANkura      -> DArANkura      | *{#DarANkura#} fehlerhaft für {#DArANkura#}.
Durvaha        -> durvaha        | {#Durvaha#} und {#DurvoQar#} fehlerhaft für {#DUrvaha#} und {#DUrvoQar#}.
SUci           -> Suci           | {#SUci#} Adj. fehlerhaft für {#Suci#} (HEMĀDRI 1,622,4), {#SUci#} und {#SUcI#} f. für {#sU˚#}.
SUrpanaKA      -> SUrpaRaKA      | {#SUrpanaKA#} f. fehlerhaft für {#SUrpaRaKA#}.
SakawAyana     -> SAkawAyana     | {#SakawAyana#} m. Pl. R. 2,89,15 fehlerhaft für {#SakawApaRa#} m. Pl. {%Karren und Waaren%}.
SamIkaraRa     -> samIkaraRa     | {#SamIkaraRa#} n. fehlerhaft für {#samI˚#}.
Savaka         -> SAvaka         | {#Savaka#} M. 145,7 Druckfehler für {#SAvaka#}.
Sazya          -> Sasya          | {#Sazya#} fehlerhaft für {#Sazpa#} und {#sasya#}.
SiliMDra       -> SilIMDra       | {#SiliMDra#} HARIV. 3606 fehlerhaft für {#SilIMDra#}.
SinIvAlI       -> sinIvAlI       | {#SinIvAlI#} f. fehlerhaft für {#si˚#}.
SraMs          -> sraMs          | √{#SraMs#}, {#viSraMsire#} fehlerhaft und ungrammatisch für {#visasraMsire#} HARIV. 4097.
Svapaka        -> SvapAka        | {#Svapaka#} fehlerhaft für {#Svapaca#}.
agnyADeyika    -> AgnyADeyika    | {#agnyADeyika#} Adj. (f. {#I#}) wohl fehlerhaft für {#A˚#} Comm. zu KĀTY. ŚR. 4,11,13.
apratirUpya    -> aprAtirUpya    | {#apratirUpya#} n. fehlerhaft für {#aprAti˚#}.
aprayAvan      -> aprayAvam      | {#a/prayAvan#} Adj. wohl fehlerhaft für {#a/prayAvam#}.
astiti         -> asTiti         | {#astiti#} TĀṆḌYA-BR. 22,17,3 fehlerhaft für {#astfti#}.
avAcanIya      -> avacanIya      | {#avAcanIya#} Adj. {%nicht zu lesen%} BĀLAR. 156,6.
cakraDAra      -> cakraDara      | {#cakraDAra#} PAÑCAT. 242,19 fehlerhaft für {#˚Dara#}.
candrAyaRa     -> cAndrAyaRa     | {#candrAyaRa#} n. fehlerhaft für {#cAndrAyaRa#} 2〉.
dAyA           -> dAya           | {#dAyA#} f. KATHĀS. 71,191 fehlerhaft für {#dayA#}.
daSEraka       -> daSeraka       | {#daSEraka#} m. Pl. vielleicht fehlerhaft für {#daSeraka#} 1〉 MBH. 3,134,17.
druhina        -> druhiRa        | {#druhina#} HARIV. 14120 fehlerhaft für {#druhiRa#}.
ekAdaSina      -> EkAdaSina      | {#ekAdaSina#} fehlerhaft für {#EkA˚#}.
gOpa           -> gopa           | *{#gOpa#} m. Patron. von {#gopa#} Comm. zu TĀṆḌYA-BR. 13,12,5. Wohl fehlerhaft für {#gopa#}.
gokaRWaka      -> gokaRwaka      | *{#gokaRWaka#} MED. k. 15 fehlerhaft für {#˚kaRwaka#}.
gorASva        -> gOrASva        | {#gorASva#} MBH. 2,329 fehlerhaft für {#gOrASva#}.
grAmIna        -> grAmIRa        | {#grAmIna#} MED. n. 58 fehlerhaft für {#grAmIRa#} (aber kein Druckfehler).
hAraRa         -> haraRa         | {#hAraRa#} — 1〉 Adj. HEM. YOGAŚ. 2,4 fehlerhaft für {#hAriRa#} — 2〉 f. {#A#} Nom. act. von 1. {#har#} Caus.
hawaka         -> hAwaka         | {#hawaka#} R. 1,14,25 fehlerhaft für {#hAwaka#}.
horaSAstra     -> horASAstra     | {#horaSAstra#} n. und {#horasetu#} m. Titel BURNELL, T. Wohl nur fehlerhaft für {#horA˚#}.
jAnapAda       -> jAnapada       | {#jAnapAda#} HARIV. 8610 fehlerhaft für {#jAla˚#}.
jAruTI         -> jArUTI         | {#jAruTI#} HARIV. 9136 und R. 6,109,50 fehlerhaft für {#jArUTI#}.
kAnyAkubja     -> kAnyakubja     | {#kAnyAkubja#} n. KATHĀS. 61,219 fehlerhaft für {#kAnyakubja#}.
kanizWineya    -> kAnizWineya    | {#kanizWineya#} bei KULL. zu M. 9,123 fehlerhaft für {#kAni˚#}.
kftaSrAma      -> kftaSrama      | {#kftaSrAma#} R. 1,21,6 fehlerhaft für {#˚Srama#}.
lAkza          -> lakza          | {#lAkza#} Adj. Ind. St. 1,110,7 nach KUHN fehlerhaft für {#lAkzma#} {%an die%} Lakṣmī {%gerichtet%}.
lOhitASva      -> lohitASva      | {#lOhitASva#} Adj. MBH. 4,173 fehlerhaft für {#lohitASva#}.
maDuGa         -> maduGa         | {#maDuGa#} m. KAUŚ. 35 wohl nur fehlerhaft für {#maduGa#}.
mahAmagna      -> mahAnagna      | {#mahAmagna#} m. KĀRAṆḌ. 41,21 fehlerhaft für {#mahAnagna#}.
nIrajana       -> nIrAjana       | {#nIrajana#} n. fehlerhaft für {#nIrAjana#}.
nirUpAKya      -> nirupAKya      | {#nirUpAKya#} fehlerhaft für {#nirupAKya#}.
niryAna        -> niryARa        | {#niryAna#} n. fehlerhaft für {#niryARa#}.
odarika        -> Odarika        | {#odarika#} MBH. 7,6390 fehlerhaft für {#O˚#}.
pAralokika     -> pAralOkika     | {#pAralokika#} MBH. 12,12053. Fehlerhaft für {#˚lOkika#}.
pArza          -> parza          | {#pArza#} MBH. 7,800. Fehlerhaft für {#pArSva#}.
pArzwika       -> pArzWika       | {#pArzwika#} LĀṬY. 8,11,6 und Comm. zu TĀṆḌYA-BR. 10,12,1 fehlerhaft für {#pArzWika#}.
pOlisa         -> pOliSa         | {#pOlisa#} Adj. fehlerhaft für {#pOliSa#} 1〉.
pUrvAhna       -> pUrvAhRa       | {#pUrvAhna#} fehlerhaft für {#pUrvAhRa#}.
parAYjana      -> paraYjana      | *{#parAYjana#} n. TRIK. Fehlerhaft für {#pattrAYjana#}.
parAvarya      -> pArAvarya      | {#parAvarya#} HARIV. 7202 fehlerhaft für {#pArAvarya#}.
parImoza       -> parimoza       | {#parImoza#} m. CARAKA. 1,7 vielleicht fehlerhaft für {#˚Soza#} = {#pariSoza#}.
paraBUti       -> parABUti       | {#paraBUti#} f. KATHĀS. 109,95. Fehlerhaft für {#parABUti#}.
paradArika     -> pAradArika     | *{#paradArika#} fehlerhaft für {#pAradArika#}.
parikzita      -> parIkzita      | {#parikzita#} — 1〉 Adj. HEMĀDRI 1,700,21. Fehlerhaft für {#paricita#}. — 2〉 m. N. pr. v. l. für {#parikzit#}. VP. 2,4,162.
parizkanDa     -> parizkanda     | {#parizkanDa#} m. GAUT. soll nach BÜHLER fehlerhaft, nach STENZLER. die besser beglaubigte Lesart für {#parizkanda#} 2〉 sein.
paryavaskanDa  -> paryavaskanda  | {#paryavaskanDa#} MBH. 7,4444. Fehlerhaft für {#˚skanda#}.
prAgalBa       -> pragalBa       | {#prAgalBa#} n. SĀH. D. 133 fehlerhaft für {#prAgalBya#}.
prahAna        -> prahARa        | {#prahAna#} und {#prahAni#} fehlerhaft für {#prahARa#} und {#prahARi#}.
pratIsIrA      -> pratisIrA      | *{#pratIsIrA#} f. 245,27 Druckfehler für {#prati˚#}.
