# SHS -- DOCUMENTED-INTENTIONAL spellings (NOT typos -- do NOT file corrections)
#
# 31 headwords that LOOK like misspellings but which SHS records on purpose:
# wrong-reading apparatus (w.r.), variae lectiones (v.l.), in-composition /
# sandhi forms (in comp. for...), cross-references (See / = X q.v.), and other
# grammatical/Vedic notes. Filing a 'correction' for any of these CORRUPTS SHS.
# Use this as a suppression list: such headwords should not be re-flagged.
# Format per row:  headword -> would-be 'correction'  |  the SHS entry text

# ===== CROSS-REFERENCE (6) =====
arsas          -> arSas          | {#arsas#} m. ({#-rsaH#}) Hœmorrhoids. See {#arSas#}.
bA             -> vA             | {#bA#} Ind. 1. As, like. 2. Or, either: see {#vA#}. || {#bA(vA)dara#} mfn. ({#-raH-rI-raM#}) Made of cotton, mf. ({#-raH-rA#}) The cotton plant. n. ({#-raM#}) 1
dArA           -> DArA           | {#dArA#} f. ({#-rA#}) A wife: see {#dAra .#}
parasvaDa      -> paraSvaDa      | {#parasvaDa#} m. ({#-DaH#}) An axe: see {#paraSvaDa#}.
pisaNga        -> piSaNga        | {#pisaNga#} m. ({#-NgaH#}) Tawny (the colour): see {#piSaNga#}. E. {#pisa, aNgac#} aff.
sutaka         -> sUtaka         | {#sutaka#} n. ({#-kaM#}) 1. Birth. 2. Impurity from child-birth or mis-carriage: see {#sUtaka .#}

# ===== OTHER-INTENTIONAL (25) =====
Soli           -> SolI           | {#Soli#} f. ({#-liH#} or {#-lI#}) Wild turmeric. E. {#SUla-ac pfzo0 NIz .#}
bAhU           -> bAhu           | {#bAhU(hA)bAhavi#} Ind. Arm to arm, hand to hand, (fighting, &c.) E. {#bAhu#} the arm, (repeated.) {#ic#} aff.
brA            -> vrA            | {#brA (vrA) hma#} mfn. ({#hmaH-hmI-hmaM#}) Relating or belonging to BRAHMĀ, the Vedas, &c. n. ({#-hyaM#}) 1. The part of the hand under the root of the thumb. 2
muzwimuzwi     -> muzwImuzwi     | {#muzwimuzwi#} Ind. Fist to fist, (fighting,) fisticuffs. E. {#muzwi#} repeated in this sense, and the final made long.
pUtI           -> pUti           | {#pUtI(ti)ka#} m. ({#-kaH#}) 1. A plant, (Cæsalpinia bonducella.) 2. The pole-cat or civet-cat. f. ({#-kA#}) A potherb, (Basella rubra, and lucida.) E. {#pUti#}
paraSva        -> parasva        | {#paraSva(sva)Da#} m. ({#-DaH#}) An axe, a hatchet. E. {#para#} another, an enemy, {#Sva#} derived from {#Svi#}, to grow or thrive; {#paraSva#} the prosperity o
prO            -> pro            | {#prO(pro)Qa#} mfn. ({#-QaH-QA-QaM#}) 1. Full-grown. 2. Confident, bold, arrogant. 3. Impudent. 4. Full-grown, (as the moon.) 5. Thick, heavy, (darkness, &c.) 6
praTivi        -> praTivI        | {#praTivi#} f. ({#-vi#}) The earth; also {#praTivI .#}
romAvali       -> romAvalI       | {#romAvali#} f. ({#-liH-lI#}) A line of hair across the middle of the belly or navel. E. {#roma#} and {#AvalI#} a line.
sUrpaRaKA      -> SUrpaRaKA      | {#sUrpaRaKA#} f. ({#-KA#}) The sister of RĀVAṆA. E. {#sUrpa, naKa#} a nail.; also {#SUrpaRaKA#}.
stari          -> starI          | {#stari(rI)man#} m. ({#-mA#}) A bed, a couch. E. {#stf#} to spread, {#imanic#} Unādi aff.
