# SKD -- DOCUMENTED-INTENTIONAL spellings (NOT typos -- do NOT file corrections)
#
# 103 headwords that LOOK like misspellings but which SKD records on purpose:
# wrong-reading apparatus (w.r.), variae lectiones (v.l.), in-composition /
# sandhi forms (in comp. for...), cross-references (See / = X q.v.), and other
# grammatical/Vedic notes. Filing a 'correction' for any of these CORRUPTS SKD.
# Use this as a suppression list: such headwords should not be re-flagged.
# Format per row:  headword -> would-be 'correction'  |  the SKD entry text

# ===== VARIA-LECTIO (3) =====
aDvA           -> aDva           | aDvA [n] puM, (atti gamanena balaM nASayati, ad + bAhulyAt kvanip, pfzodarAditvAt dakArasya DaH .) panTAH . kAlaH . saMsTAnaM . avaskandaH . iti medinI .. SAstr
haritakI       -> harItakI       | haritakI, strI, (hari pItavarRaM PalamitA prAptA iti harItA . tataH saMjYAyAM kan gOrAdi- ttvAt NIz .) svanAmaKyAtavfkzaH . haraqA iti hindI BAzA . tatparyyAyaH
viviktA        -> vivikta        | viviktA, strI, durBagA . iti trikARqaSezaH .. mudrANkitapustake viriktA iti pAWaH ..

# ===== CROSS-REFERENCE (14) =====
Buvanakoza     -> BuvanakoSa     | Buvanako(Sa)za, puM, (Buvanasya koza iva .) BUgolaH . (asya vivaraRaM SrIBAgavate paYcamaskanDe . 16 . 17 . 18 . aDyAye drazwavyam .. taTAca . “jambuplakzaSAlma
bARI           -> vARI           | {{Lbody=31844}}  (redirect -> vARI)
bfhadrAvI      -> vfhadrAvI      | {{Lbody=33964}}  (redirect -> vfhadrAvI)
bimbA          -> bimba          | {{Lbody=32988}}  (redirect -> vimbA)
meKalAdrijA    -> mekalAdrijA    | {{Lbody=27979}}  (redirect -> mekalAdrijA)
sinIbAlI       -> sinIvAlI       | {{Lbody=39125}}  (redirect -> sinIvAlI)
vARagaNgA      -> bARagaNgA      | {{Lbody=24218}}  (redirect -> bARagaNgA)
vARapuNKA      -> bARapuNKA      | {{Lbody=24220}}  (redirect -> bARapuNKA)
vAluNgI        -> bAluNgI        | {{Lbody=24318}}  (redirect -> bAluNgI)
vadaraPalI     -> badaraPalI     | {{Lbody=23931}}  (redirect -> badaraPalI)
vadaravallI    -> badaravallI    | {{Lbody=23932}}  (redirect -> badaravallI)
vakulA         -> vakula         | {{Lbody=23903}}  (redirect -> bakulA)
vakulI         -> bakulI         | {{Lbody=23904}}  (redirect -> bakulI)
