row_id	dict	wrong	right	wrong_entry_text	right_entry_text
001	SHS	BUnaya	BUmaya	{#BUnaya#}¦ mfn. ({#-yaH-yI-yaM#}) Made of or consisting the earth. f. ({#-yI#}) A name of Chāyā or shadow personified, the wife of the sun. E. {#BU#} earth, and {#mayaw#} aff.	[no separate entry under this headword]
002	SHS	BadraballI	BadravallI	{#BadraballI#}¦ f. ({#-llI#}) 1. Arabian jasmine, (Jasminum zambac.) 2. The large Bengal creeper, (Gærtnera, racemosa.) E. {#Badra#} lucky, {#vallI#} a creeper.	[no separate entry under this headword]
003	SHS	SilAbalkA	SilAvalkA	{#SilAbalkA#}¦ f. ({#-lkA#}) A medicinal substance said to be of cooling and lithonthriptic properties, commonly termed Silabāk; a sort of lichen or moss. E. {#SilA#} a stone or rock, and {#valka#} bark; also termed {#SilAvalkala, SilAtvac .#}	[no separate entry under this headword]
004	SHS	akASadIpa	AkASadIpa	{#akASadIpa#}¦ m. ({#-paH#}) 1. A lamp or torch lighted in honour of LAKṢMĪ or VIṢṆU, and elevated on a pole in the open air at the Dewali festival, in the month Kartik. 2. A beacon, a lantern on a pole. E. {#AkASa#} and {#dIpa#} a lamp; also {#AkASapradIpaH#}.	[no separate entry under this headword]
005	SHS	diDizupati	diDizUpati	{#diDizupati#}¦ m. ({#-tiH#}) The husband of a woman remarried. E. {#diDizU#} as above, and {#pati#} a husband.	[no separate entry under this headword]
006	SHS	ditisUta	ditisuta	{#ditisUta#}¦ m. ({#-taH#}) 1. Titan or giant. E. {#diti#} as above, and {#suta#} a son.	[no separate entry under this headword]
007	SHS	divaspfTibI	divaspfTivI	{#divaspfTibI#}¦ f. du. ({#-vyO#}) Heaven and earth. E. {#diva#} heaven, and {#pfTivI#} earth, {#sa#} inserted for the sake of euphony.	[no separate entry under this headword]
008	SHS	drabaja	dravaja	{#drabaja#}¦ m. ({#-jaH#}) Treacle. E. {#drava#}, and {#ja#} born. {#dravAt jAyate jana-qa .#}	[no separate entry under this headword]
009	SHS	hastisuRqA	hastiSuRqA	{#hastisuRqA#}¦ f. ({#-RqA#} or {#-RqI#}) 1. An elephant's trunk. 2. A flower, (Heliotropium Indicum.) E. {#hastin#} an elephant, {#SuRqA#} the trunk.	[no separate entry under this headword]
010	SHS	jAmbabat	jAmbavat	{#jAmbabat#}¦ m. ({#-vAn#}) A fabulous bear, father-in-law to KṚṢṆA. E. {#jAmba#} the Jambu tree, and {#matup#} affix; also {#jAmbuvat#}.	[no separate entry under this headword]
011	SHS	jAmbunadamaya	jAmbUnadamaya	{#jAmbunadamaya#}¦ mfn. ({#-yaH-yI-yaM#}) Golden, made of gold. E. {#jAmbUnada#} and {#mayaw#} aff.	[no separate entry under this headword]
