# word	bigrams_absent_from_MW∩PW	count	loci
cAticezcitEH	zc	1	sa_mArkaNDeyapurANa1-93#markp_19.29
dsyu	ds	1	sa_mArkaNDeyapurANa1-93#markp_19.25
dvijAgyreRa	yr	1	sa_mArkaNDeyapurANa1-93#markp_2.47
gAgM	gM	1	sa_mArkaNDeyapurANa1-93#markp_16.25
htvAnnantu	ht	1	sa_mArkaNDeyapurANa1-93#markp_15.20
kaRwakErderGErAyasEH	GE	1	sa_mArkaNDeyapurANa1-93#markp_14.75
meM	eM	1	sa_mArkaNDeyapurANa1-93#markp_8.63
mftanirmAlyasUtrAntargUgkeSe	gk	1	sa_mArkaNDeyapurANa1-93#markp_8.205
muKabAhUdarANiGrakaH	Ni	1	sa_mArkaNDeyapurANa1-93#markp_8.124
nigaqElOhEragnipratApitEH	qE	1	sa_mArkaNDeyapurANa1-93#markp_14.60
pUrvamidAnIYca	IY	1	sa_mArkaNDeyapurANa1-93#markp_10.33
purIYcendratvamAptavAn	IY	1	sa_mArkaNDeyapurANa1-93#markp_8.268
sUryakarEScaRqEryatrAtIva	qE	1	sa_mArkaNDeyapurANa1-93#markp_12.25
supratizWEkarUpiRI	WE	1	sa_mArkaNDeyapurANa1-93#markp_4.47
syAdahkurastadvaducyate	hk	1	sa_mArkaNDeyapurANa1-93#markp_11.3
vANmADurMyyAdiBUzaREH	rM	1	sa_mArkaNDeyapurANa1-93#markp_16.81
viSvAmitravicezcitam	zc	1	sa_mArkaNDeyapurANa1-93#markp_9.2
yajYErdAnEstapoBirvA	YE	1	sa_mArkaNDeyapurANa1-93#markp_19.29
yajYErdakziRAvadBistat	YE	1	sa_mArkaNDeyapurANa1-93#markp_3.48
yajYErmayezwaM	YE	1	sa_mArkaNDeyapurANa1-93#markp_13.12
yajYEryajanti	YE	1	sa_mArkaNDeyapurANa1-93#markp_16.39
