# word	bigrams_absent_from_MW∩PW	count	loci
skmsauka	ms	2	sa_vidyAkara-subhASitaratnakoza#VidSrk_6.41;sa_vidyAkara-subhASitaratnakoza#VidSrk_14.10
BfNgAvalIJaNkArEr	IJ	1	sa_vidyAkara-subhASitaratnakoza#VidSrk_24.23
asaMPalad	MP	1	sa_vidyAkara-subhASitaratnakoza#VidSrk_23.36
durotdara	td	1	sa_vidyAkara-subhASitaratnakoza#VidSrk_19.48
grahasH	sH	1	sa_vidyAkara-subhASitaratnakoza#VidSrk_19.5
hastenAYgArAs	Yg	1	sa_vidyAkara-subhASitaratnakoza#VidSrk_21.25
jalAHn	Hn	1	sa_vidyAkara-subhASitaratnakoza#VidSrk_9.16
janASelza	lz	1	sa_vidyAkara-subhASitaratnakoza#VidSrk_13.12
mudrAtmaBisH	sH	1	sa_vidyAkara-subhASitaratnakoza#VidSrk_17.58
pAtrANkuratvAtd	td	1	sa_vidyAkara-subhASitaratnakoza#VidSrk_19.32
paSyedty	dt	1	sa_vidyAkara-subhASitaratnakoza#VidSrk_4.18
pvpadyA	vp	1	sa_vidyAkara-subhASitaratnakoza#VidSrk_6.41
raBasASelzo	lz	1	sa_vidyAkara-subhASitaratnakoza#VidSrk_21.5
saMdnDAryate	dn	1	sa_vidyAkara-subhASitaratnakoza#VidSrk_18.1
saMdnDattAM	dn	1	sa_vidyAkara-subhASitaratnakoza#VidSrk_16.67
saMshtite	ht,sh	1	sa_vidyAkara-subhASitaratnakoza#VidSrk_19.45
viBavasyAJevAdya	AJ,Je	1	sa_vidyAkara-subhASitaratnakoza#VidSrk_13.12
