# German orthographic reform map:  old<TAB>2026<TAB>era
# Curated seed + drift mined from the corpus (transform + Hunspell-confirmed).
# Expandable -- merge DTA/RIDGES historical->modern pairs here. 978 forms.
abendröthe	abendröte	1901-th
abfluß	abfluss	1996-ss
abgefaßt	abgefasst	1996-ss
abgethan	abgetan	1901-th
abgetheilt	abgeteilt	1901-th
abrasiren	abrasieren	1901-iren
abrathen	abraten	1901-th
abscess	abszess	1901-c
abschluß	abschluss	1996-ss
absolviren	absolvieren	1901-iren
absorbiren	absorbieren	1901-iren
abstrahiren	abstrahieren	1901-iren
abtheil	abteil	1901-th
abtheilen	abteilen	1901-th
abthun	abtun	1901-th
acazienart	akazienart	1901-c
accent	akzent	1901-c
achttheilig	achtteilig	1901-th
acut	akut	1901-c
addiren	addieren	1901-iren
aderlaß	aderlass	1996-ss
afficiren	affizieren	1901-c-iren
alterniren	alternieren	1901-iren
alterthum	altertum	1901-th
amboß	amboss	1996-ss
aneinandergerathen	aneinandergeraten	1901-th
angerathen	angeraten	1901-th
angethan	angetan	1901-th
anlaß	anlass	1996-ss
anmuth	anmut	1901-th
anmuthig	anmutig	1901-th
annulliren	annullieren	1901-iren
anrathen	anraten	1901-th
antheil	anteil	1901-th
antheils	anteils	1901-th
anthun	antun	1901-th
anticipation	antizipation	1901-c
anticipiren	antizipieren	1901-c-iren
anzuthun	anzutun	1901-th
aphrodisiaca	aphrodisiaka	1901-c
aphrodisiacum	aphrodisiakum	1901-c
application	applikation	1901-c
appliciren	applizieren	1901-c-iren
armuth	armut	1901-th
arth	art	1901-th
articulation	artikulation	1901-c
assimiliren	assimilieren	1901-iren
association	assoziation	1901-c
asth	ast	1901-th
astha	asta	1901-th
ath	at	1901-th
athem	atem	1901-th
athemholen	atemholen	1901-th
athemlos	atemlos	1901-th
athmen	atmen	1901-th
athmungs	atmungs	1901-th
aufathmen	aufatmen	1901-th
aufgethan	aufgetan	1901-th
aufguß	aufguss	1996-ss
aufthun	auftun	1901-th
aufzuthun	aufzutun	1901-th
ausathmen	ausatmen	1901-th
ausfluß	ausfluss	1996-ss
ausgetheilt	ausgeteilt	1901-th
ausguß	ausguss	1996-ss
ausschluß	ausschluss	1996-ss
ausstaffiren	ausstaffieren	1901-iren
austheilen	austeilen	1901-th
auszutheilen	auszuteilen	1901-th
author	autor	1901-th
außagen	aussagen	1996-ss
außchauen	ausschauen	1996-ss
außchlagen	ausschlagen	1996-ss
außchütten	ausschütten	1996-ss
außetzen	aussetzen	1996-ss
außetzer	aussetzer	1996-ss
außicht	aussicht	1996-ss
außperren	aussperren	1996-ss
außtand	ausstand	1996-ss
außtehen	ausstehen	1996-ss
außteigen	aussteigen	1996-ss
außtellen	ausstellen	1996-ss
außteller	aussteller	1996-ss
außtreichen	ausstreichen	1996-ss
außuchen	aussuchen	1996-ss
azimuth	azimut	1901-th
balcon	balkon	1901-c
basilicum	basilikum	1901-c
