# English orthographic-drift across dictionaries -- DOCUMENTATION ONLY
# drift/1k = reform-drift per 1000 gloss tokens; EXCLUDES typographic eras ['ligature']
dict	tokens	modern%	drift	drift/1k	xion	ligature	ick	archaic
AP	540655	64	0	0.00	0	0	0	0
AP90	471171	64	0	0.00	0	39	0	0
BEN	222874	48	4	0.02	2	27	1	1
BHS	379068	36	1	0.00	1	0	0	0
CAE	179477	67	0	0.00	0	0	0	0
GST	152728	41	6	0.04	0	42	3	3
IEG	82932	44	0	0.00	0	0	0	0
MD	277933	62	40	0.14	39	4	0	1
MW	993490	56	14	0.01	2	0	0	12
MW72	1222406	47	15	0.01	0	92	1	14
PD	1317037	36	0	0.00	0	0	0	0
PE	740406	41	0	0.00	0	0	0	0
SHS	471442	56	38	0.08	14	109	16	8
VEI	222063	37	1	0.00	1	12	0	0
WIL	432341	57	200	0.46	19	46	103	78
