# English orthographic reform map:  old<TAB>2026<TAB>era
# Curated seed + corpus-mined drift. Expandable. 71 forms.
alœ	ale	ligature
anapæst	anapaest	ligature
ancle	ankle	archaic
aquatick	aquatic	ick
aromatick	aromatic	ick
arsenick	arsenic	ick
ascetick	ascetic	ick
brœw	brew	ligature
bœnd	bend	ligature
bœr	boer	ligature
bœst	best	ligature
chace	chase	archaic
chamæleon	chameleon	ligature
characteristick	characteristic	ick
chimæra	chimera	ligature
cloathing	clothing	archaic
compleat	complete	archaic
controul	control	archaic
cyder	cider	archaic
cæsura	caesura	ligature
diarrhœa	diarrhoea	ligature
dinœ	dine	ligature
disconnexion	disconnection	xion
erotick	erotic	ick
frolick	frolic	ick
fœtus	foetus	ligature
garlick	garlic	ick
generick	generic	ick
gonorrhœa	gonorrhoea	ligature
gulph	gulf	archaic
heretick	heretic	ick
heroick	heroic	ick
hyæna	hyena	ligature
logick	logic	ick
lyræ	lyre	ligature
lœn	len	ligature
magick	magic	ick
majestick	majestic	ick
manœuvre	manoeuvre	ligature
mulæ	mule	ligature
musick	music	ick
mœte	mete	ligature
nœd	ned	ligature
onomatopœic	onomatopoeic	ligature
panegyrick	panegyric	ick
panick	panic	ick
patronymick	patronymic	ick
perinæum	perineum	ligature
perinœum	perineum	ligature
physick	physic	ick
phænomenon	phenomenon	ligature
phœnix	phoenix	ligature
phœnomenon	phenomenon	ligature
reflexion	reflection	xion
shew	show	archaic
shewing	showing	archaic
shewn	shown	archaic
shews	shows	archaic
specifick	specific	ick
spiculæ	spicule	ligature
terræ	terre	ligature
traffick	traffic	ick
turmerick	turmeric	ick
wœd	wed	ligature
æon	aeon	ligature
æra	era	ligature
ærial	aerial	ligature
æther	ether	ligature
æthereal	ethereal	ligature
œdematous	oedematous	ligature
œsophagus	oesophagus	ligature
