# word	bigrams_absent_from_MW∩PW	count	loci
JrIM	Jr	2	sa_108-buddhist-stotras#BuSto_24.8;sa_108-buddhist-stotras#BuSto_24.8
PeM	eM	2	sa_108-buddhist-stotras#BuSto_95.2;sa_108-buddhist-stotras#BuSto_95.2
kAyAgyraH	yr	2	sa_108-buddhist-stotras#BuSto_108.142;sa_108-buddhist-stotras#BuSto_108.146
BAsvatKaRqenduKaRqErapacitiracanA	qE	1	sa_108-buddhist-stotras#BuSto_39.11
Bavizyty	yt	1	sa_bhatRhari-zatakatraya#bharst_2.48
Bramty	mt	1	sa_bhatRhari-zatakatraya#bharst_2.47
BujagAsuralokasaMGErganDarvayakzamuniBiH	GE	1	sa_108-buddhist-stotras#BuSto_10.1
JaMJamAnA	MJ	1	sa_108-buddhist-stotras#BuSto_24.4
JrIMkAravfnde	Jr	1	sa_108-buddhist-stotras#BuSto_24.8
KaraSaranikarESCAdayantoHntarIkzaM	Hn	1	sa_108-buddhist-stotras#BuSto_20.4
PeMkAranAdEH	eM	1	sa_108-buddhist-stotras#BuSto_95.2
SrIindrARi	Ii	1	sa_108-buddhist-stotras#BuSto_9.4
alamahamiaha	ia	1	sa_108-buddhist-stotras#BuSto_18.39
avaokate	ao	1	sa_bhatRhari-zatakatraya#bharst_1.93
caRqArIlIamftA	Ia	1	sa_108-buddhist-stotras#BuSto_7.38
camdrp	md	1	sa_bhatRhari-zatakatraya#bharst_1.74
ciaramidamaByasanena	ia	1	sa_108-buddhist-stotras#BuSto_18.78
duHKOGa	KO	1	sa_bhatRhari-zatakatraya#bharst_3.30
durlaNDye	ND	1	sa_108-buddhist-stotras#BuSto_6.2
ffmpaM	ff	1	sa_108-buddhist-stotras#BuSto_29.5
gadgadodgItayAczAH	cz	1	sa_108-buddhist-stotras#BuSto_6.11
guaRAH	ua	1	sa_108-buddhist-stotras#BuSto_1.32
hArDayukhArArDayugakuRqalI	kh	1	sa_108-buddhist-stotras#BuSto_62.39
huMPawaninAdEstriBuvanakuharaM	MP	1	sa_108-buddhist-stotras#BuSto_95.4
huMPawkAramayi	MP	1	sa_108-buddhist-stotras#BuSto_47.4
iadamapi	ia	1	sa_108-buddhist-stotras#BuSto_18.84
jIrRanOikAsamArUQo	Oi	1	sa_108-buddhist-stotras#BuSto_55.6
jYErlabDaM	YE	1	sa_108-buddhist-stotras#BuSto_34.17
jihmAanAM	Aa	1	sa_108-buddhist-stotras#BuSto_1.15
kAyAgyro	yr	1	sa_108-buddhist-stotras#BuSto_108.147
kapHlaM	Hl,pH	1	sa_108-buddhist-stotras#BuSto_24.8
kuzcitAkzAH	zc	1	sa_bhatRhari-zatakatraya#bharst_2.3
laNkeSapramuKASciaraM	ia	1	sa_108-buddhist-stotras#BuSto_18.2
lokeSvaracaraRaBuvAmunmayUuKA	Uu	1	sa_108-buddhist-stotras#BuSto_39.5
mAheSvarIyAnasuragurutam…	m…	1	sa_108-buddhist-stotras#BuSto_29.23
mArtaNdasya	Nd	1	sa_abhinavagupta-kramastotra#AgKs_23
mIyakaRWErqimaqimagagatA	WE	1	sa_108-buddhist-stotras#BuSto_29.14
mUfKa	Uf	1	sa_bhatRhari-zatakatraya#bharst_1.4
mhIDrAd	mh	1	sa_bhatRhari-zatakatraya#bharst_1.10
nEvaa	aa	1	sa_bhatRhari-zatakatraya#bharst_1.96
namao	ao	1	sa_108-buddhist-stotras#BuSto_25.25
namaskArEkaviMSatiHti	Ht	1	sa_108-buddhist-stotras#BuSto_5.22
niSitAgkuSena	gk	1	sa_bhatRhari-zatakatraya#bharst_1.11
omkArA	mk	1	sa_108-buddhist-stotras#BuSto_7.30
omkArotpannaSuklABaM	mk	1	sa_108-buddhist-stotras#BuSto_107.1
pIWanErFtye	Ft,rF	1	sa_108-buddhist-stotras#BuSto_62.23
pfTvIgarBAKyabOdDo…Jawiti	o…,…J	1	sa_108-buddhist-stotras#BuSto_34.13
prOQAlIQEkapAdakramaBaravinamadbrahmarudrendravizRuM	QE	1	sa_108-buddhist-stotras#BuSto_6.30
ratnaalaMkftu	aa	1	sa_108-buddhist-stotras#BuSto_17.47
saMvartakEf	Ef	1	sa_bhatRhari-zatakatraya#bharst_1.77
sarvABilApahetvgryaH	vg	1	sa_108-buddhist-stotras#BuSto_108.29
sarvAGorI…kzitija	I…,…k	1	sa_108-buddhist-stotras#BuSto_34.4
sarvaBAvasvaBAvAgyraH	yr	1	sa_108-buddhist-stotras#BuSto_108.116
sarvasattvetdriyArTajYaH	td	1	sa_108-buddhist-stotras#BuSto_108.130
strIzawdanto	wd	1	sa_108-buddhist-stotras#BuSto_6.24
suKapHcitHmiti	Hc,Hm,pH,tH	1	sa_108-buddhist-stotras#BuSto_59.5
surasidDasaMGErganDarvakinnaramahoraganAgayakzEH	GE	1	sa_108-buddhist-stotras#BuSto_12.6
suvidyHM	HM,yH	1	sa_108-buddhist-stotras#BuSto_59.5
tAyaRIHRIm	HR	1	sa_108-buddhist-stotras#BuSto_7.12
taTAkArH	rH	1	sa_108-buddhist-stotras#BuSto_57.5
tiryaHnArakapretagatInAm	Hn	1	sa_108-buddhist-stotras#BuSto_14.7
tvamoGEruhyamAnAnAM	GE	1	sa_108-buddhist-stotras#BuSto_1.98
varadavajrAgyra	yr	1	sa_108-buddhist-stotras#BuSto_108.158
vastrAHrzAH	Hr	1	sa_108-buddhist-stotras#BuSto_79.4
viSezAataH	Aa	1	sa_bhatRhari-zatakatraya#bharst_1.7
yadudakamatiBirjYAnasaMjYEkatIrTaH	YE	1	sa_108-buddhist-stotras#BuSto_34.17
yenA…Birapi	A…,…B	1	sa_108-buddhist-stotras#BuSto_29.24
…mAraBantI	…m	1	sa_108-buddhist-stotras#BuSto_29.23
