# Russian orthographic reform map:  old<TAB>2026<TAB>era
# Curated seed + corpus-mined drift. Expandable. 7709 forms.
августъ	август	1918-hardsign
авригипментъ	авригипмент	1918-hardsign
аврипигментъ	аврипигмент	1918-hardsign
авторитетомъ	авторитетом	1918-hardsign
авторитетъ	авторитет	1918-hardsign
агентъ	агент	1918-hardsign
агнецъ	агнец	1918-hardsign
адвокатъ	адвокат	1918-hardsign
адъ	ад	1918-hardsign
азартныхъ	азартных	1918-hardsign
азъ	аз	1918-hardsign
актеромъ	актером	1918-hardsign
актеръ	актер	1918-hardsign
актовъ	актов	1918-hardsign
актъ	акт	1918-hardsign
актѣ	акте	1918-yat
алгебраическій	алгебраический	1918-i
алгебрѣ	алгебре	1918-yat
аллигаторъ	аллигатор	1918-hardsign
аллитерація	аллитерация	1918-i
алмазъ	алмаз	1918-hardsign
алмазѣ	алмазе	1918-yat
алфавитъ	алфавит	1918-hardsign
алфавитѣ	алфавите	1918-yat
алчущій	алчущий	1918-i
амбросіей	амбросией	1918-i
амбросіи	амбросии	1918-i
амбросію	амбросию	1918-i
амбросія	амбросия	1918-i
аналогическій	аналогический	1918-i
аналогіи	аналогии	1918-i
аналогія	аналогия	1918-i
анархію	анархию	1918-i
ангирасовъ	ангирасов	1918-hardsign
англійскій	английский	1918-i
анисъ	анис	1918-hardsign
антилопѣ	антилопе	1918-yat
апатическій	апатический	1918-i
апатія	апатия	1918-i
апельсинъ	апельсин	1918-hardsign
аппетитъ	аппетит	1918-hardsign
апрѣля	апреля	1918-yat
апрѣлѣ	апреле	1918-yat
арабскій	арабский	1918-i
арбузъ	арбуз	1918-hardsign
арестующій	арестующий	1918-i
арестъ	арест	1918-hardsign
ариѳм	арифм	1918-fita
арміи	армии	1918-i
армія	армия	1918-i
ароматическій	ароматический	1918-i
арсеналъ	арсенал	1918-hardsign
аріергардъ	ариергард	1918-i
арійскому	арийскому	1918-i
аскетъ	аскет	1918-hardsign
ассистентъ	ассистент	1918-hardsign
астрологъ	астролог	1918-hardsign
астрологія	астрология	1918-i
астрономъ	астроном	1918-hardsign
асурамъ	асурам	1918-hardsign
асуръ	асур	1918-hardsign
атеистъ	атеист	1918-hardsign
атлетическія	атлетическия	1918-i
атмосферѣ	атмосфере	1918-yat
атъ	ат	1918-hardsign
аффиксъ	аффикс	1918-hardsign
ахидъ	ахид	1918-hardsign
ахъ	ах	1918-hardsign
бадьянъ	бадьян	1918-hardsign
балаганъ	балаган	1918-hardsign
балконъ	балкон	1918-hardsign
балкъ	балк	1918-hardsign
бамбуковыхъ	бамбуковых	1918-hardsign
бамбукъ	бамбук	1918-hardsign
банъ	бан	1918-hardsign
барабанъ	барабан	1918-hardsign
баранъ	баран	1918-hardsign
баринъ	барин	1918-hardsign
барсъ	барс	1918-hardsign
барышъ	барыш	1918-hardsign
барьеръ	барьер	1918-hardsign
баснословныхъ	баснословных	1918-hardsign
бассейнъ	бассейн	1918-hardsign
батракъ	батрак	1918-hardsign
бедрахъ	бедрах	1918-hardsign
бедръ	бедр	1918-hardsign
безбрачіе	безбрачие	1918-i
безвкусіе	безвкусие	1918-i
безвѣтренный	безветренный	1918-yat
безгрѣшный	безгрешный	1918-yat
безгрѣшнымъ	безгрешным	1918-yat
бездѣйствии	бездействии	1918-yat
бездѣйствіе	бездействие	1918-yat
бездѣтный	бездетный	1918-yat
беззаконіе	беззаконие	1918-i
беззаконіемъ	беззаконием	1918-i
безмолвіе	безмолвие	1918-i
безмѣрно	безмерно	1918-yat
безначаліе	безначалие	1918-i
безногій	безногий	1918-i
безнравственнымъ	безнравственным	1918-hardsign
безобразіе	безобразие	1918-i
безплоднымъ	безплодным	1918-hardsign
безплодіе	безплодие	1918-i
безплодія	безплодия	1918-i
безполезнымъ	безполезным	1918-hardsign
безпорядокъ	безпорядок	1918-hardsign
безпредѣльность	безпредельность	1918-yat
безпредѣльный	безпредельный	1918-yat
безприбѣжность	безприбежность	1918-yat
безпримѣрный	безпримерный	1918-yat
безпримѣсный	безпримесный	1918-yat
безпристрастіе	безпристрастие	1918-i
безпріютный	безприютный	1918-i
безразличіе	безразличие	1918-i
безрукій	безрукий	1918-i
безсиліе	безсилие	1918-i
безславіе	безславие	1918-i
безсмертнымъ	безсмертным	1918-hardsign
безсмертныхъ	безсмертных	1918-hardsign
безсмертіе	безсмертие	1918-i
безсмертіемъ	безсмертием	1918-i
безсовѣстный	безсовестный	1918-yat
безсѣменный	безсеменный	1918-yat
безтѣлесный	безтелесный	1918-yat
безуміе	безумие	1918-i
безуспѣшности	безуспешности	1918-yat
безуспѣшность	безуспешность	1918-yat
безцвѣтный	безцветный	1918-yat
безчеловѣчный	безчеловечный	1918-yat
безчестнымъ	безчестным	1918-hardsign
безчестіе	безчестие	1918-i
безчестія	безчестия	1918-i
безъ	без	1918-hardsign
безъименныхъ	безъименных	1918-hardsign
безѣ	безе	1918-yat
береговъ	берегов	1918-hardsign
берегъ	берег	1918-hardsign
беременныхъ	беременных	1918-hardsign
беретъ	берет	1918-hardsign
берутъ	берут	1918-hardsign
берущій	берущий	1918-i
бесѣдка	беседка	1918-yat
бесѣдки	беседки	1918-yat
библіотека	библиотека	1918-i
бивуакахъ	бивуаках	1918-hardsign
бинтъ	бинт	1918-hardsign
биніонія	биниония	1918-i
бирюкъ	бирюк	1918-hardsign
бисеръ	бисер	1918-hardsign
битвѣ	битве	1918-yat
благовонныхъ	благовонных	1918-hardsign
благовоніе	благовоние	1918-i
благовоній	благовоний	1918-i
благовонія	благовония	1918-i
благовоніями	благовониями	1918-i
благоговѣніе	благоговение	1918-yat
благоговѣнія	благоговения	1918-yat
благоденствующій	благоденствующий	1918-i
благоденствіе	благоденствие	1918-i
благоденствія	благоденствия	1918-i
благодѣтель	благодетель	1918-yat
благодѣтельный	благодетельный	1918-yat
благодѣтельствующій	благодетельствующий	1918-yat
благодѣяніе	благодеяние	1918-yat
благополучнымъ	благополучным	1918-hardsign
благополучіе	благополучие	1918-i
благоприличіе	благоприличие	1918-i
благоприятнымъ	благоприятным	1918-hardsign
благоприятныхъ	благоприятных	1918-hardsign
благопріятно	благоприятно	1918-i
благопріятность	благоприятность	1918-i
благопріятный	благоприятный	1918-i
благопріятныхъ	благоприятных	1918-i
благопріятствовать	благоприятствовать	1918-i
благопріятствующій	благоприятствующий	1918-i
благорасположеніе	благорасположение	1918-i
благословеніе	благословение	1918-i
благословеній	благословений	1918-i
благосостояніе	благосостояние	1918-i
благосостоянію	благосостоянию	1918-i
благоуханіе	благоухание	1918-i
благоуханіемъ	благоуханием	1918-i
благоуханій	благоуханий	1918-i
благоуханію	благоуханию	1918-i
благоуханія	благоухания	1918-i
благоуханіями	благоуханиями	1918-i
благоухающій	благоухающий	1918-i
благочестивымъ	благочестивым	1918-hardsign
благочестивыхъ	благочестивых	1918-hardsign
благочестіемъ	благочестием	1918-i
блаженствуюшій	блаженствуюший	1918-i
блескомъ	блеском	1918-hardsign
блескъ	блеск	1918-hardsign
блестящимъ	блестящим	1918-hardsign
блестящій	блестящий	1918-i
блещущій	блещущий	1918-i
ближайшій	ближайший	1918-i
ближайшііі	ближайшиии	1918-i
близкимъ	близким	1918-hardsign
близкихъ	близких	1918-hardsign
близкій	близкий	1918-i
близкія	близкия	1918-i
близорукій	близорукий	1918-i
близъ	близ	1918-hardsign
блистаніе	блистание	1918-i
блистающій	блистающий	1918-i
блуждающій	блуждающий	1918-i
блѣдно	бледно	1918-yat
блѣдноватый	бледноватый	1918-yat
блѣдножелтаго	бледножелтаго	1918-yat
блѣдный	бледный	1918-yat
бобовъ	бобов	1918-hardsign
бобръ	бобр	1918-hardsign
бобъ	боб	1918-hardsign
богамъ	богам	1918-hardsign
богатствомъ	богатством	1918-hardsign
богатымъ	богатым	1918-hardsign
богатѣющій	богатеющий	1918-yat
богахъ	богах	1918-hardsign
боговъ	богов	1918-hardsign
богомолъ	богомол	1918-hardsign
богомъ	богом	1918-hardsign
богослуженіе	богослужение	1918-i
боготвореніе	боготворение	1918-i
боготворимыхъ	боготворимых	1918-hardsign
богъ	бог	1918-hardsign
богій	богий	1918-i
богѣ	боге	1918-yat
бодецъ	бодец	1918-hardsign
бодрствованіе	бодрствование	1918-i
бодрствующій	бодрствующий	1918-i
бодрымъ	бодрым	1918-hardsign
боецъ	боец	1918-hardsign
божествомъ	божеством	1918-hardsign
божествъ	божеств	1918-hardsign
божествѣ	божестве	1918-yat
бокъ	бок	1918-hardsign
болтаніе	болтание	1918-i
болтающій	болтающий	1918-i
болтунъ	болтун	1918-hardsign
болтъ	болт	1918-hardsign
болышіе	болышие	1918-i
больнымъ	больным	1918-hardsign
большемъ	большем	1918-hardsign
большимъ	большим	1918-hardsign
большомъ	большом	1918-hardsign
большіе	большие	1918-i
большій	больший	1918-i
болѣе	более	1918-yat
болѣзненное	болезненное	1918-yat
болѣзненные	болезненные	1918-yat
болѣзни	болезни	1918-yat
болѣзнь	болезнь	1918-yat
боппъ	бопп	1918-hardsign
боровъ	боров	1918-hardsign
борсукъ	борсук	1918-hardsign
боръ	бор	1918-hardsign
ботъ	бот	1918-hardsign
ботѣть	ботеть	1918-yat
боящійся	боящийся	1918-i
боѣ	бое	1918-yat
брагманамъ	брагманам	1918-hardsign
брагманистамъ	брагманистам	1918-hardsign
брагманическимъ	брагманическим	1918-hardsign
брагмановъ	брагманов	1918-hardsign
брагманъ	брагман	1918-hardsign
брагмѣ	брагме	1918-yat
брадобрѣй	брадобрей	1918-yat
браковъ	браков	1918-hardsign
бракосочетаніе	бракосочетание	1918-i
бракосочетаніи	бракосочетании	1918-i
бракосочетанія	бракосочетания	1918-i
бракъ	брак	1918-hardsign
бракѣ	браке	1918-yat
браняцій	браняций	1918-i
бранящій	бранящий	1918-i
браслетъ	браслет	1918-hardsign
братній	братний	1918-i
братомъ	братом	1918-hardsign
братскій	братский	1918-i
братъ	брат	1918-hardsign
брахманамъ	брахманам	1918-hardsign
брахманизмомъ	брахманизмом	1918-hardsign
брахманическимъ	брахманическим	1918-hardsign
брахманическихъ	брахманических	1918-hardsign
брахманическій	брахманический	1918-i
брахмановъ	брахманов	1918-hardsign
брахманокъ	брахманок	1918-hardsign
брахманомъ	брахманом	1918-hardsign
брахманскимъ	брахманским	1918-hardsign
брахманъ	брахман	1918-hardsign
брахмѣ	брахме	1918-yat
брегъ	брег	1918-hardsign
брезгающій	брезгающий	1918-i
бренчаніе	бренчание	1918-i
бреханіе	брехание	1918-i
брешетъ	брешет	1918-hardsign
бродъ	брод	1918-hardsign
бродячій	бродячий	1918-i
бродящій	бродящий	1918-i
броженіе	брожение	1918-i
броженію	брожению	1918-i
бросаніе	бросание	1918-i
бросаютъ	бросают	1918-hardsign
бросающій	бросающий	1918-i
бросивъ	бросив	1918-hardsign
брошеніе	брошение	1918-i
брызжущій	брызжущий	1918-i
бугоръ	бугор	1918-hardsign
буддаическихъ	буддаических	1918-hardsign
буддистическій	буддистический	1918-i
буддистъ	буддист	1918-hardsign
буддѣ	будде	1918-yat
будемъ	будем	1918-hardsign
будетъ	будет	1918-hardsign
будильщикъ	будильщик	1918-hardsign
будутъ	будут	1918-hardsign
будущій	будущий	1918-i
будящій	будящий	1918-i
буйволовыхъ	буйволовых	1918-hardsign
буйволомъ	буйволом	1918-hardsign
буйволъ	буйвол	1918-hardsign
буквъ	букв	1918-hardsign
букетъ	букет	1918-hardsign
булущій	булущий	1918-i
бульваръ	бульвар	1918-hardsign
бунчукъ	бунчук	1918-hardsign
буравчикъ	буравчик	1918-hardsign
бурунъ	бурун	1918-hardsign
буффонъ	буффон	1918-hardsign
бучающій	бучающий	1918-i
бываетъ	бывает	1918-hardsign
бывающій	бывающий	1918-i
бывшихъ	бывших	1918-hardsign
бывшій	бывший	1918-i
бывшія	бывшия	1918-i
бывъ	быв	1918-hardsign
быковъ	быков	1918-hardsign
быкъ	бык	1918-hardsign
былъ	был	1918-hardsign
бытъ	быт	1918-hardsign
бытіе	бытие	1918-i
бытія	бытия	1918-i
бычачій	бычачий	1918-i
бычекъ	бычек	1918-hardsign
бьющій	бьющий	1918-i
біеніе	биение	1918-i
бѣгать	бегать	1918-yat
бѣглецъ	беглец	1918-yat
бѣгомъ	бегом	1918-yat
бѣгство	бегство	1918-yat
бѣгутъ	бегут	1918-yat
бѣгущій	бегущий	1918-yat
бѣгъ	бег	1918-yat
бѣд	бед	1918-yat
бѣда	беда	1918-yat
бѣдность	бедность	1918-yat
бѣдный	бедный	1918-yat
бѣдственное	бедственное	1918-yat
бѣдствовать	бедствовать	1918-yat
бѣдствіе	бедствие	1918-yat
бѣдствій	бедствий	1918-yat
бѣдствія	бедствия	1918-yat
бѣдствіямъ	бедствиям	1918-yat
бѣду	беду	1918-yat
бѣж	беж	1918-yat
бѣжали	бежали	1918-yat
бѣжаніе	бежание	1918-yat
бѣжать	бежать	1918-yat
бѣл	бел	1918-yat
бѣлаго	белаго	1918-yat
бѣлая	белая	1918-yat
бѣлизна	белизна	1918-yat
бѣлка	белка	1918-yat
бѣлое	белое	1918-yat
бѣлой	белой	1918-yat
бѣлокурыми	белокурыми	1918-yat
бѣлокъ	белок	1918-yat
бѣлою	белою	1918-yat
бѣлые	белые	1918-yat
бѣлый	белый	1918-yat
бѣлыми	белыми	1918-yat
бѣлымъ	белым	1918-yat
бѣлье	белье	1918-yat
бѣсить	бесить	1918-yat
бѣснованіе	беснование	1918-yat
бѣсъ	бес	1918-yat
бѣсѣдки	беседки	1918-yat
бѣшеная	бешеная	1918-yat
бѣшенство	бешенство	1918-yat
вайсьевъ	вайсьев	1918-hardsign
вайсіа	вайсиа	1918-i
вайсіевъ	вайсиев	1918-i
вайсія	вайсия	1918-i
валъ	вал	1918-hardsign
валяніе	валяние	1918-i
валяющійся	валяющийся	1918-i
вамъ	вам	1918-hardsign
варваръ	варвар	1918-hardsign
вареніемъ	варением	1918-i
варунѣ	варуне	1918-yat
варягъ	варяг	1918-hardsign
васъ	вас	1918-hardsign
вашимъ	вашим	1918-hardsign
вашъ	ваш	1918-hardsign
ваянія	ваяния	1918-i
введеніе	введение	1918-i
вверженіе	ввержение	1918-i
вверхъ	вверх	1918-hardsign
вводящій	вводящий	1918-i
ввѣренное	вверенное	1918-yat
ввѣренный	вверенный	1918-yat
ввѣреніе	вверение	1918-yat
ввѣрившій	вверивший	1918-yat
ввѣрить	вверить	1918-yat
ввѣряемое	вверяемое	1918-yat
ввѣрять	вверять	1918-yat
ввѣряющій	вверяющий	1918-yat
вдвоемъ	вдвоем	1918-hardsign
вдовахъ	вдовах	1918-hardsign
вдовецъ	вдовец	1918-hardsign
вдовцемъ	вдовцем	1918-hardsign
вдохновеніе	вдохновение	1918-i
вдругъ	вдруг	1918-hardsign
вдыханіе	вдыхание	1918-i
ведаическихъ	ведаических	1918-hardsign
ведамъ	ведам	1918-hardsign
ведахъ	ведах	1918-hardsign
веденіе	ведение	1918-i
ведетъ	ведет	1918-hardsign
ведущій	ведущий	1918-i
ведущійся	ведущийся	1918-i
ведущія	ведущия	1918-i
ведъ	вед	1918-hardsign
вездѣ	везде	1918-yat
везеніе	везение	1918-i
везущій	везущий	1918-i
везущія	везущия	1918-i
великодушіе	великодушие	1918-i
великолѣпіе	великолепие	1918-yat
великолѣпіи	великолепии	1918-yat
великъ	велик	1918-hardsign
великій	великий	1918-i
величіе	величие	1918-i
величію	величию	1918-i
веловѣческой	веловеческой	1918-yat
велъ	вел	1918-hardsign
велій	велий	1918-i
верблюдовъ	верблюдов	1918-hardsign
верблюдъ	верблюд	1918-hardsign
верженіе	вержение	1918-i
вертелѣ	вертеле	1918-yat
вертищійся	вертищийся	1918-i
вертящійся	вертящийся	1918-i
вертѣніе	вертение	1918-yat
вертѣть	вертеть	1918-yat
вертѣться	вертеться	1918-yat
верхній	верхний	1918-i
верхнія	верхния	1918-i
верхомъ	верхом	1918-hardsign
верхъ	верх	1918-hardsign
вершинѣ	вершине	1918-yat
веселыхъ	веселых	1918-hardsign
веселящій	веселящий	1918-i
веселящійся	веселящийся	1918-i
веселіе	веселие	1918-i
весенній	весенний	1918-i
веснѣ	весне	1918-yat
вечеромъ	вечером	1918-hardsign
вечеръ	вечер	1918-hardsign
веществомъ	веществом	1918-hardsign
веществѣ	веществе	1918-yat
взадъ	взад	1918-hardsign
взаимнымъ	взаимным	1918-hardsign
взвѣсивъ	взвесив	1918-yat
взвѣшенный	взвешенный	1918-yat
взвѣшиваніе	взвешивание	1918-yat
взглядомъ	взглядом	1918-hardsign
взглядъ	взгляд	1918-hardsign
взглянувъ	взглянув	1918-hardsign
вздохнувъ	вздохнув	1918-hardsign
вздохъ	вздох	1918-hardsign
вздувающійся	вздувающийся	1918-i
вздыманіе	вздымание	1918-i
вздыхающій	вздыхающий	1918-i
взираніе	взирание	1918-i
взирающій	взирающий	1918-i
взлѣзаніе	взлезание	1918-yat
взлѣзшій	взлезший	1918-yat
взошедшій	взошедший	1918-i
взывающій	взывающий	1918-i
взысканію	взысканию	1918-i
взявшій	взявший	1918-i
взявъ	взяв	1918-hardsign
взялъ	взял	1918-hardsign
взятъ	взят	1918-hardsign
взятіе	взятие	1918-i
видарбхіянкѣ	видарбхиянке	1918-yat
видахъ	видах	1918-hardsign
видегіанки	видегианки	1918-i
видимымъ	видимым	1918-hardsign
видимыхъ	видимых	1918-hardsign
видитъ	видит	1918-hardsign
виднымъ	видным	1918-hardsign
